part_number,id,description,footprint,tags
C0603C103J5RACTU,0dykfgpefmkz8a8v9as9xtccmz,50V 10nF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,
RC0402FR-0710KL,0egfm2yghpjhk9wmfq6nh7wdd4,Res Thick Film 0402 10K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R,0402,
LQW15AN2N7C00D,17ca42zv2thpgb0be7dtyjr194,Inductor RF Chip Wirewound 2.7nH 0.2nH 100MHz 20Q-Factor 850mA 50mOhm DCR 0402 Paper T/R,0402,inductor
203615-0003,050qn4y26rjf8bzb35hya24kt1,"USB-C Receptacle, 16PIN",,connector
0402HM-4N7EJTS,0mkdemqshpkqrbj8g3a5cvbqae,1 Element 0.0047 uH General Purpose Inductor SMD,0402,inductor;SMD;0402
CR0603-JW-331ELF,1p6mg8beywjhw8yzm1w32nfs7t,Res Thick Film 0603 330 Ohm 5% 1/10W ±200ppm/°C Molded SMD SMD Paper Tape on Plastic Reel,,
LQW15AN8N2G00D,03ftkwabtgggr8e4ntsw9fbwcq,Inductor RF Chip Wirewound 8.2nH 2% 100MHz 25Q-Factor 540mA 140mOhm DCR 0402 Paper T/R,0402,
RC0402FR-07100KL,0350jsjdqpg2c8n0ebg1mm99qq,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS,0402,
RC0402JR-0768KL,26vqvkm2begv9bf49jc4k9vvgs,Res Thick Film 0402 68K Ohm 5% 0.063W(1/16W) ±100ppm/C Pad SMD T/R,,
LM3671MF-3.3/NOPB,0r4fa6zb0ykh4ar3ywv4h042va,"IC REG BUCK 3.3V 600MA SOT23-5 ""Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 600mA SC-74A, SOT-753""",,
LTC2954CDDB-1#TRMPBF,4wzj5c72qgkezarcedps8vmyw7,IC push button on/off controller 8DFN,8DFN,
TPS62233DRYT,0qqysxg7cjgmma7ffvt472n433,2 MHz Ultra Small Step Down Converter with DCS-Control in 1x1.5 SON Package 6-SON -40 to 125,,
