part_number,part_id
STC02SYAN,63sta29nc6kfd8myykvmjmjps4
CL21A106KAYNNNG,akfhx36w3wkxgaz72naak4tw68
SP6205EM5-L-3-3,2tnrymc31rktyahff46kt64t9r
GJM1555C1H5R6BB01D,dvvhacaf4ggpj9vnxcgz782t5b
RK73H1ERTTP5603F,5wtb81kft8g3p957thsygn2v0p
KMR231NGLFS,5ahdstsgs0jmhazkejxresjmj3
RCUCTE,fntwv8sm38hncbf0vb7c51aqk2
WR04X4700FTL,26etgpz3degte9magspwhqya5n
VJ0603Y182KXACW1BC,4th3dsvahpjh8ar9b2wkz1075k
GJM1555C1H470JB01D,5f9cty2eecg0jbgmtpt3fr5psw
TMK105B7473KV-F,58be5h9m4thjpbf8wjq8kh34k5
CC0603KRX7R7BB104,awfvbjx5f2gm69s6sf6d3hnv37
LTST-C193TBKT-5A,a83nh6gfr8gnc9st1mg1ff3cv5
DPX252690DT-5072A1,ajpxh5yr44hrd83axme7djpje9
RC0402FR-071ML,4hsf293m4pjhwacbbjec6yenph
RC0402JR-0720KL,cb1f6hzhtwh5dapqw098hnnr46
0402HM-9N5EGTS,6kjhxsrjktkmm9pqm72b7j4wz3
PFR05S-471-FNH,5dmgt6krpaj8v8pepjf43wbnjb
CIGT201610LH2R2MNE,3rc7f7tfpjgja9d301h41agrff
TPS61091RSAR,dvy7f18d7gjfz86xrxyrxee0xw
06035A220JAT2A,da0b6hc0w0j3v9tkv1517a5f91
CRGCQ0603J2K2,67kpczx5srksmaaagwmqwb8csy
0402N221J250CT,5sc8gwawntgnn9cfay1kjg3wfy
RC0603FR-07470RL,fmys8dsmhgjwt9v0tpwakgktve
RMC16K121FTP,6ze4avg9v8jqd83jk5745a8mv0
LP T67F-P1R2-35-1-20-R18-Z,73pd6bhm6rkvj85eszn6s3mmkz
WR06X2002FTL,dqe8swph6rkz59dv37798tzz7n
BMP280,3ehpgmjenjhbhavwz1d4bsyt2m
RMCF0402FT249K,3vez5b6bmgknp9yffhhtdzwaah
ATSAMD21G18A-MUT,52c36979zwhs29ejadgpdc6jee
SJ-3523-SMT-TR,3zenkn59tmgjba2xfrn4b7sngf
RMCF0603FT4K30,dg1qbyhjtjgah8x3fqhk2fz673
TPS62233DRYT,0qqysxg7cjgmma7ffvt472n433
203615-0003,050qn4y26rjf8bzb35hya24kt1
BMP390,1w564z0nkchm0a845qf9c8a0h8
885012005028,e1h0gszsrpjmtas1vjxvn6g2e5
0908-3-15-20-75-14-11-0,ez40ve4c5ch7d8r9ynpyh06x3v
MCR03ERTJ304,d47bepjnnrg5t87bj876gjna5w
885382206004,e1mw3r4r8jgz0a6f1yyy7mvk29
RC0402JR-07110KL,85tk8tzyegh2rag43pv0hzqx4a
JS202011JCQN,fhrhx94gechk18brs68j9y45mf
CONSMA003.062,f94jdk9da2g4f88xq3m475bpsw
RC0402JR-0768KL,26vqvkm2begv9bf49jc4k9vvgs
CL10A225KP8NNNC,aytessv7hyjevaqt67w5mz0kqc
LBM2016T150J,djvjb76bw4k3w8mv0xcb44evby
LQW15AN2N7C00D,17ca42zv2thpgb0be7dtyjr194
GJM1555C1H4R0BB01D,cw31qh93qwh3gan1e9qbwtd9g1
SPX3819M5-L-3-3/TR,2nvzvwqq0chpk8brkxqqh0rk1q
C0805C101J5GACTU,8vzeys741ggnmb3hap6c6scmpj
CL10B104KB8NNNC,6gdpn01sv8j2p8qr6xxcqmp33r
ZOE-M8Q-0,cfe8qtcw5cgrkajfzzn1bf3ed6
MX25R8035FZUIL0,4s2bvanprtgrbbdbnp57x5qgxq
C1220X7R1E104M085AC,egqsw7ybb0gtm8cvr5n72r5dmm
MCP73831T-2ACI/MC,9qrt92yj5mjbwb3j5n4d1jghmh
RC0402FR-07120RL,5fwv6ksm5jhbr996a5ph8f9zm8
RR0816P-102-D,8nq0ma6s1wgja829xw2tfa300h
GJM1555C1H3R3BB01D,3aq7j4006gk48bg59cetgmayas
885012206067,8y236xdka2h6785e8wrgcap0e5
WR06X6802FTL,bz1t19d8m2jrra9j6jzeh5qvpe
PFR05S-102-FNH,962ew328srk3bbv0rw5azrt2k1
WR483245-15F5-G,dqdhaj0hajkhrb23yd863gnk2z
0603X474K250CT,22gmpt5xmyh9tbkh5cyeqpyb5b
CL21A106KOQNNNF,6j8k7krts2gj2bmg8b54nf98kt
GJM1555C1H3R0BB01D,e2dyrgsmmmk5y9m9v0krasz1xn
